[2026-01-17 14:57:09] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-17 14:57:09] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-17 14:57:09] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-17 14:57:09] info: 	zh:ember: Using default stack config.
[2026-01-17 14:57:09] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-01-17 14:57:09] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-01-17 14:57:09] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-01-17 14:57:09] info: 	zh:ember:uart:ash: Serial port opened
[2026-01-17 14:57:09] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-01-17 14:57:10] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-01-17 14:57:10] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-01-17 14:57:10] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-01-17 14:57:10] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2026-01-17 14:57:10] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2026-01-17 14:57:10] info: 	zh:ember: [STACK STATUS] Network up.
[2026-01-17 14:57:10] info: 	zh:ember: [INIT TC] Adapter network does not match config. Leaving network...
[2026-01-17 14:57:11] info: 	zh:ember: [STACK STATUS] Network down.
[2026-01-17 14:57:12] info: 	zh:ember: [INIT TC] Forming from backup.
[2026-01-17 14:57:12] info: 	zh:ember: [INIT FORM] Forming new network with: {"panId":38674,"extendedPanId":[43,109,34,41,55,81,141,237],"radioTxPower":5,"radioChannel":11,"joinMethod":0,"nwkManagerId":0,"nwkUpdateId":0,"channels":134215680}
[2026-01-17 14:57:12] info: 	zh:ember: [STACK STATUS] Network up.
[2026-01-17 14:57:12] info: 	zh:ember: [INIT FORM] New network formed!
[2026-01-17 14:57:12] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2026-01-17 14:57:12] info: 	z2m: zigbee-herdsman started (restored)
[2026-01-17 14:57:12] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2026-01-17 14:57:12] info: 	z2m: Currently 0 devices are joined.
[2026-01-17 14:57:12] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto:1883
[2026-01-17 14:57:12] info: 	z2m: Connected to MQTT server
[2026-01-17 14:57:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-01-17 14:57:12] info: 	z2m: Started frontend on port 8080
[2026-01-17 14:57:12] info: 	z2m: Zigbee2MQTT started!
[2026-01-17 14:57:18] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-17 14:57:18] info: 	zh:ember: [STACK STATUS] Network opened.
[2026-01-17 14:57:18] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"80rs1-1"}'
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash: Port closed, error=Error: bad file descriptor
[2026-01-17 14:59:50] error: 	zh:ember:ezsp: Fatal error, status=ERROR_SERIAL_INIT. Last Frame: [FRAME: ID=54:"SEND_BROADCAST" Seq=43 Len=7]
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash: ASH COUNTERS since last clear:
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Total frames: RX=53, TX=97
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Cancelled   : RX=0, TX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   DATA frames : RX=51, TX=44
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   DATA bytes  : RX=436, TX=520
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Retry frames: RX=0, TX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   ACK frames  : RX=0, TX=52
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   NAK frames  : RX=1, TX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   nRdy frames : RX=0, TX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   CRC errors      : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Comm errors     : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Length < minimum: RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Length > maximum: RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Bad controls    : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Bad lengths     : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Bad ACK numbers : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Out of buffers  : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Retry dupes     : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   Out of sequence : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash:   ACK timeouts    : RX=0
[2026-01-17 14:59:50] info: 	zh:ember:uart:ash: ======== ASH stopped ========
[2026-01-17 14:59:50] info: 	zh:ember:ezsp: ======== EZSP stopped ========
[2026-01-17 14:59:50] info: 	zh:ember: ======== Ember Adapter Stopped ========
[2026-01-17 14:59:50] error: 	z2m: Adapter disconnected, stopping
[2026-01-17 14:59:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2026-01-17 14:59:50] info: 	z2m: Disconnecting from MQTT server
[2026-01-17 14:59:50] info: 	z2m: Stopping zigbee-herdsman...
[2026-01-17 14:59:50] info: 	z2m: Stopped zigbee-herdsman
[2026-01-17 14:59:50] info: 	z2m: Stopped Zigbee2MQTT
